project-name,pom-jacoco,pom-cobertura,pom-javadoc,travis,gha,file-name,yml-codecov,yml-coveralls,yml-sonar,yml-jacoco,yml-cobertura,yml-javadoc,mvn-mvnw,candidate
ctripcorp/apollo,Yes,Yes,Yes,No,Yes,build.yml,Yes,No,No,Yes,No,No,Yes,No
ctripcorp/apollo,Yes,Yes,Yes,No,Yes,cla.yml,No,No,No,No,No,No,No,No
ctripcorp/apollo,Yes,Yes,Yes,No,Yes,license.yml,No,No,No,No,No,No,No,No
ctripcorp/apollo,Yes,Yes,Yes,No,Yes,release-1.8.yml,No,No,No,No,No,No,Yes,Maybe
ctripcorp/apollo,Yes,Yes,Yes,No,Yes,release.yml,No,No,No,No,No,No,Yes,Maybe
zxing/zxing,Yes,No,Yes,Yes,Yes,.travis.yml,Yes,No,No,Yes,No,No,Yes,No
zxing/zxing,Yes,No,Yes,Yes,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
chanjarster/weixin-java-tools,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
xuxueli/xxl-job,No,No,Yes,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
alibaba/druid,Yes,No,Yes,Yes,No,.travis.yml,Yes,No,No,No,No,No,No,No
alibaba/nacos,Yes,No,Yes,Yes,Yes,.travis.yml,No,No,Yes,No,No,No,Yes,No
alibaba/nacos,Yes,No,Yes,Yes,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
alibaba/nacos,Yes,No,Yes,Yes,Yes,it.yml,No,No,No,No,No,No,Yes,Maybe
jenkinsci/jenkins,No,No,Yes,No,Yes,changelog.yml,No,No,No,No,No,No,No,No
jenkinsci/jenkins,No,No,Yes,No,Yes,publish-release-artifact.yml,No,No,No,No,No,No,Yes,Maybe
seata/seata,Yes,No,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,No,No,Yes,No
seata/seata,Yes,No,Yes,Yes,Yes,build.yml,Yes,No,No,No,No,No,Yes,No
Activiti/Activiti,Yes,No,Yes,No,Yes,main.yml,No,No,No,No,No,No,Yes,Maybe
alibaba/fastjson,Yes,No,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,No,No,No,No
alibaba/fastjson,Yes,No,Yes,Yes,Yes,ci.yaml,No,No,No,No,No,No,Yes,Maybe
libgdx/libgdx,No,No,Yes,No,Yes,build-pullrequest.yml,No,No,No,No,No,No,No,No
libgdx/libgdx,No,No,Yes,No,Yes,build-snapshot.yml,No,No,No,No,No,No,Yes,Maybe
apache/zookeeper,No,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,Yes,Maybe
apache/zookeeper,No,No,Yes,Yes,Yes,ci.yaml,No,No,No,No,No,No,Yes,Maybe
apache/zookeeper,No,No,Yes,Yes,Yes,manual.yaml,No,No,No,No,No,Yes,Yes,Yes
alibaba/canal,Yes,No,Yes,Yes,No,.travis.yml,Yes,No,No,No,No,No,Yes,No
alibaba/Sentinel,Yes,No,Yes,No,Yes,ci.yml,Yes,No,No,No,No,No,Yes,No
dromara/hutool,No,Yes,Yes,Yes,No,.travis.yml,Yes,No,No,No,Yes,No,Yes,No
alibaba/arthas,Yes,No,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,No,No,Yes,No
alibaba/arthas,Yes,No,Yes,Yes,Yes,build-vmtool.yaml,No,No,No,No,No,No,Yes,Maybe
alibaba/arthas,Yes,No,Yes,Yes,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
alibaba/arthas,Yes,No,Yes,Yes,Yes,release.yaml,No,No,No,No,No,No,Yes,Maybe
alibaba/arthas,Yes,No,Yes,Yes,Yes,test.yaml,No,No,No,No,No,No,Yes,Maybe
apache/skywalking,No,Yes,No,No,Yes,ci-it.yaml,Yes,No,No,No,Yes,Yes,Yes,No
apache/skywalking,No,Yes,No,No,Yes,codeql.yaml,No,No,No,No,No,No,Yes,Maybe
apache/skywalking,No,Yes,No,No,Yes,dead-link-checker.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,docker-ci.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.alarm.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.cluster.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.compat.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.event.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.go.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.istio.yaml,No,No,No,No,No,No,Yes,Maybe
apache/skywalking,No,Yes,No,No,Yes,e2e.jdk-versions.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.js.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.kafka.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.log.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.nodejs.yaml,No,No,No,No,No,No,No,No
apache/skywalking,No,Yes,No,No,Yes,e2e.php.yaml,No,No,No,No,No,No,No,No
